query_id,class,representative_id,representative_index,alignment_score,alignment_length,identities,identity_percent
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A2M8D0D8|unreviewed|nitrate,65,5051.0,1475,879,59.59322033898305
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A937B8V3|unreviewed|Molybdopterin,66,3823.0,1444,650,45.013850415512465
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A4R2NZ59|unreviewed|nitrate,67,5051.0,1482,866,58.43454790823211
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A258GBD5|unreviewed|nitrate,68,5005.0,1481,860,58.06887238352465
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A2T5H6I8|unreviewed|nitrate,69,5062.0,1485,872,58.72053872053872
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A098T7W6|unreviewed|nitrate,70,5001.0,1485,858,57.77777777777777
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A5C5CKP9|unreviewed|nitrate,71,5113.0,1472,878,59.64673913043478
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0AAX0L7P6|unreviewed|nitrate,72,5046.0,1470,861,58.57142857142858
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A541CM77|unreviewed|nitrate,73,5003.0,1477,850,57.549085985104945
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A0N0MB29|unreviewed|nitrate,74,5087.0,1475,871,59.05084745762712
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1B2FL46|unreviewed|nitrate,75,5054.0,1478,861,58.25439783491204
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,F7S8Z0|unreviewed|nitrate,76,5003.0,1471,852,57.91978246091094
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A420WN31|unreviewed|nitrate,77,5160.0,1468,886,60.3542234332425
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A0F6AVE4|unreviewed|nitrate,78,5078.0,1467,868,59.16837082481254
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A7C9IJL2|unreviewed|nitrate,79,5024.0,1477,857,58.023019634394046
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A419ABP6|unreviewed|4Fe-4S,80,5027.0,1503,859,57.152361942781106
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A0M6XW73|unreviewed|nitrate,81,5014.0,1472,846,57.472826086956516
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A2E1XJG7|unreviewed|nitrate,82,5128.0,1457,878,60.2608098833219
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1T4Q0H0|unreviewed|nitrate,83,5178.0,1446,891,61.61825726141079
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A6M1TW90|unreviewed|nitrate,84,5035.0,1478,865,58.52503382949933
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A967EVC8|unreviewed|nitrate,85,4970.0,1492,849,56.90348525469169
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A318MW16|unreviewed|nitrate,86,5530.0,1391,969,69.66211358734724
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A972G4N6|unreviewed|nitrate,87,4976.0,1485,847,57.03703703703704
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1M2YTW4|unreviewed|nitrate,88,5035.0,1484,863,58.153638814016176
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A251ZVS7|unreviewed|nitrate,89,5564.0,1377,973,70.66085693536675
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A059FIH5|unreviewed|nitrate,90,5031.0,1477,861,58.29383886255924
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,Q8YBF0|unreviewed|Nitrate,91,3751.0,1405,645,45.90747330960854
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A8I0N150|unreviewed|nitrate,92,5116.0,1470,876,59.591836734693885
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A3N7GF04|unreviewed|nitrate,93,5039.0,1479,860,58.1473968897904
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1B3NKS3|unreviewed|nitrate,94,5098.0,1474,873,59.22659430122117
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,W7DU74|unreviewed|nitrate,95,5580.0,1374,981,71.39737991266377
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A949PN97|unreviewed|nitrate,96,4999.0,1481,857,57.86630654962863
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A2N3BWU5|unreviewed|nitrate,97,5086.0,1480,876,59.189189189189186
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A8J3E7K5|unreviewed|nitrate,98,5207.0,1448,902,62.29281767955801
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A521NN25|unreviewed|nitrate,99,5069.0,1466,868,59.2087312414734
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A0P6RLY6|unreviewed|nitrate,100,4994.0,1486,851,57.267833109017495
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A2D8HM96|unreviewed|nitrate,101,5072.0,1473,867,58.85947046843177
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A833D7A3|unreviewed|nitrate,102,5118.0,1461,880,60.232717316906225
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A545SU33|unreviewed|nitrate,103,5030.0,1478,859,58.1190798376184
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A286IDX8|unreviewed|nitrate,104,4997.0,1488,856,57.52688172043011
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A4R6AM49|unreviewed|nitrate,105,5027.0,1479,857,57.9445571331981
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A2A6NMK3|unreviewed|nitrate,106,5154.0,1457,880,60.39807824296499
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A6L6J5N5|unreviewed|nitrate,107,4990.0,1490,855,57.38255033557047
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1Z3LTX1|unreviewed|nitrate,108,4994.0,1475,850,57.6271186440678
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A7S8C4W8|unreviewed|nitrate,109,5081.0,1471,868,59.00747790618627
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A853L3H3|unreviewed|nitrate,110,5045.0,1471,859,58.39564921821891
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1M4LGS4|unreviewed|nitrate,111,5099.0,1471,873,59.34738273283481
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0AAX0KU29|unreviewed|nitrate,112,5039.0,1468,858,58.44686648501363
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A327Y5F5|unreviewed|nitrate,113,5069.0,1484,871,58.692722371967655
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A841QIU9|unreviewed|4Fe-4S,114,4613.0,1535,771,50.22801302931597
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0AAW9RN82|unreviewed|nitrate,115,4988.0,1486,842,56.6621803499327
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A0F2QDZ3|unreviewed|nitrate,116,5047.0,1478,866,58.59269282814614
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A9E1SM98|unreviewed|4Fe-4S,117,3840.0,1697,624,36.77077195050089
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,Q0AL51|unreviewed|nitrate,118,5135.0,1460,882,60.41095890410959
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A2T4YJ34|unreviewed|nitrate,119,5053.0,1474,861,58.41248303934871
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A2R8AZF7|unreviewed|nitrate,120,5023.0,1498,857,57.20961281708945
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A378ZYY7|unreviewed|nitrate,121,5000.0,1489,856,57.48824714573539
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A2P9HCW6|unreviewed|nitrate,122,5092.0,1471,874,59.41536369816451
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A0F7PJ30|unreviewed|nitrate,123,5042.0,1482,866,58.43454790823211
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1N7NUS4|unreviewed|nitrate,124,4985.0,1492,849,56.90348525469169
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0AAD1D9Q4|unreviewed|nitrate,125,5149.0,1453,885,60.908465244322095
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A0F2Q277|unreviewed|nitrate,126,5071.0,1484,872,58.760107816711596
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1M3DSN8|unreviewed|nitrate,127,4976.0,1488,843,56.653225806451616
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A165YXD0|unreviewed|nitrate,128,5065.0,1459,862,59.0815627141878
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A0X3U015|unreviewed|nitrate,129,4995.0,1477,849,57.48138117806364
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A4Y3TNT1|unreviewed|4Fe-4S,130,4611.0,1532,771,50.32637075718016
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A3S9CLU8|unreviewed|nitrate,131,5120.0,1459,877,60.10966415352982
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A0D6JK72|unreviewed|nitrate,132,5137.0,1466,885,60.368349249658934
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A7D4AUS7|unreviewed|nitrate,133,5141.0,1464,885,60.45081967213115
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1H3GRJ8|unreviewed|nitrate,134,5072.0,1474,868,58.88738127544097
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A916S8Z2|unreviewed|nitrate,135,5113.0,1456,884,60.71428571428571
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1W2DDT7|unreviewed|nitrate,136,5061.0,1482,869,58.63697705802969
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A0V0Q1Q9|unreviewed|nitrate,137,5050.0,1477,863,58.42924847664184
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A011TFK8|unreviewed|4Fe-4S,138,5055.0,1500,864,57.599999999999994
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A7C8HN32|unreviewed|nitrate,139,5069.0,1472,862,58.559782608695656
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A9D6AGW5|unreviewed|nitrate,140,5054.0,1461,863,59.069130732375086
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A7X6H384|unreviewed|nitrate,141,5067.0,1483,875,59.002022926500345
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A365U543|unreviewed|nitrate,142,4973.0,1485,845,56.9023569023569
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A5P2QRD0|unreviewed|4Fe-4S,143,4999.0,1512,856,56.613756613756614
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1E4EP27|unreviewed|nitrate,144,5001.0,1485,854,57.50841750841751
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1H7JLQ9|unreviewed|nitrate,145,5062.0,1471,862,58.59959211420802
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A0H3AUX8|unreviewed|nitrate,146,5087.0,1474,870,59.02306648575305
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A328BI37|unreviewed|nitrate,147,5064.0,1471,873,59.34738273283481
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A7W9AWV9|unreviewed|nitrate,148,5086.0,1479,872,58.95875591615957
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A0P1F8Z1|unreviewed|nitrate,149,4993.0,1481,855,57.73126266036462
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A840Z341|unreviewed|nitrate,150,5133.0,1453,882,60.70199587061252
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A212LFT9|unreviewed|nitrate,151,5101.0,1457,870,59.711736444749484
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A3X8Q4|unreviewed|nitrate,152,4997.0,1487,855,57.49831876260928
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1I3R695|unreviewed|nitrate,153,5034.0,1472,854,58.016304347826086
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1E4M075|unreviewed|nitrate,154,5023.0,1448,876,60.49723756906077
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A9D5TZ36|unreviewed|nitrate,155,5047.0,1473,860,58.38424983027834
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1I3TZN5|unreviewed|nitrate,156,5087.0,1474,870,59.02306648575305
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A4V1PQM7|unreviewed|nitrate,157,5034.0,1484,865,58.288409703504044
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1I5W4H5|unreviewed|nitrate,158,4999.0,1481,850,57.393652937204585
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,Q2YJY4|unreviewed|nitrate,159,5078.0,1467,868,59.16837082481254
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A0D6PIT1|unreviewed|nitrate,160,4989.0,1476,849,57.52032520325203
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A0D5LP35|unreviewed|nitrate,161,5126.0,1467,885,60.32719836400818
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A059DP50|unreviewed|nitrate,162,5029.0,1481,861,58.13639432815665
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,I3TUM1|unreviewed|nitrate,163,5046.0,1477,860,58.22613405551794
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A6L7LK94|unreviewed|nitrate,164,4974.0,1488,845,56.78763440860215
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1J6HPY4|unreviewed|nitrate,165,5107.0,1472,874,59.375
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A964FCX1|unreviewed|nitrate,166,5039.0,1477,862,58.36154366960054
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A2N3DHW6|unreviewed|nitrate,167,5156.0,1462,892,61.01231190150479
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A366XCA5|unreviewed|nitrate,168,4985.0,1479,842,56.930358350236645
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A442IZU0|unreviewed|nitrate,169,5141.0,1454,882,60.66024759284731
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A3S1GT33|unreviewed|Nitrate,170,4396.0,1458,761,52.19478737997256
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A089NY56|unreviewed|nitrate,171,5133.0,1462,874,59.78112175102599
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A5A8A5K3|unreviewed|nitrate,172,5124.0,1471,873,59.34738273283481
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A2K8KEA1|unreviewed|nitrate,173,5000.0,1473,853,57.90902919212492
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A8I1RQK2|unreviewed|nitrate,174,5167.0,1461,881,60.30116358658453
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A953BZI6|unreviewed|nitrate,175,5044.0,1480,866,58.513513513513516
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A372IE19|unreviewed|nitrate,176,5051.0,1482,867,58.502024291497975
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A918XWV9|unreviewed|nitrate,177,5099.0,1465,874,59.658703071672356
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,H0TSP6|unreviewed|Nitrate,178,4303.0,1420,740,52.112676056338024
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A4P1K4E1|unreviewed|nitrate,179,4994.0,1475,850,57.6271186440678
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A9X9XFF3|unreviewed|nitrate,180,4996.0,1478,848,57.37483085250338
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A975JM51|unreviewed|nitrate,181,5133.0,1455,882,60.618556701030926
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,G8PP01|unreviewed|nitrate,182,5055.0,1460,862,59.04109589041096
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A7C7QVS5|unreviewed|Nitrate,183,4229.0,1438,726,50.48678720445062
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A1H6MU12|unreviewed|nitrate,184,5062.0,1466,862,58.79945429740792
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A6X2Z5|unreviewed|nitrate,185,5113.0,1472,876,59.5108695652174
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A149UR44|unreviewed|4Fe-4S,186,4614.0,1535,771,50.22801302931597
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A7U8PV72|unreviewed|nitrate,187,5099.0,1472,873,59.30706521739131
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A7U7AZ14|unreviewed|nitrate,188,4780.0,1520,813,53.48684210526316
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,C7LHE1|unreviewed|nitrate,189,5099.0,1472,873,59.30706521739131
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A938HPW6|unreviewed|4Fe-4S,190,3797.0,1676,624,37.23150357995227
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A165QU75|unreviewed|nitrate,191,5048.0,1462,861,58.89192886456909
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A9WXZ8|unreviewed|nitrate,192,5099.0,1472,873,59.30706521739131
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A7H1NQX3|unreviewed|nitrate,193,4902.0,1478,834,56.4276048714479
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A9X1IAP8|unreviewed|nitrate,194,5076.0,1464,869,59.35792349726776
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A259E126|unreviewed|nitrate,195,5059.0,1481,868,58.609047940580695
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,A0A0Q7TXA9|unreviewed|nitrate,196,5084.0,1485,869,58.51851851851851
